2013-07-10,6974699
2013-07-11,7079835
2013-07-12,6894649
2013-07-13,6374883
2013-07-14,6522257
2013-07-15,7357860
2013-07-16,7054540
2013-07-17,7429242
2013-07-18,7804392
2013-07-19,7576393
2013-07-20,6453242
2013-07-21,6435181
2013-07-22,7506900
2013-07-23,7254503
2013-07-24,7703262
2013-07-25,7701439
2013-07-26,7721865
2013-07-27,6899132
2013-07-28,7113749
2013-07-29,8094932
2013-07-30,7845213
2013-07-31,7863155
2013-08-01,8252138
2013-08-02,8755214
2013-08-03,8018263
2013-08-04,8279129
2013-08-05,8879284
2013-08-06,8935044
2013-08-07,8922456
2013-08-08,9138369
2013-08-09,8885065
2013-08-10,8112756
2013-08-11,8379808
2013-08-12,9051929
2013-08-13,8450384
2013-08-14,9003751
2013-08-15,9142998
2013-08-16,8993369
2013-08-17,8163631
2013-08-18,8039518
2013-08-19,9474446
2013-08-20,8943512
2013-08-21,8768133
2013-08-22,8715849
2013-08-23,8900505
2013-08-24,7997126
2013-08-25,8264202
2013-08-26,9301576
2013-08-27,9341003
2013-08-28,9334369
2013-08-29,9265206
2013-08-30,8966106
2013-08-31,8131766
2013-09-01,8437511
2013-09-02,9418751
2013-09-03,9221427
2013-09-04,9167925
2013-09-05,8536816
2013-09-06,8667185
2013-09-07,8249317
2013-09-08,8601225
2013-09-09,9551520
2013-09-10,9069207
2013-09-11,9094670
2013-09-12,9142864
2013-09-13,9272172
2013-09-14,8308490
2013-09-15,8612184
2013-09-16,9325805
2013-09-17,8996079
2013-09-18,8184645
2013-09-19,6231406
2013-09-20,8439686
2013-09-21,9462228
2013-09-22,10704394
2013-09-23,10010533
2013-09-24,9501526
2013-09-25,9066698
2013-09-26,8923736
2013-09-27,8796694
2013-09-28,8221286
2013-09-29,9573514
2013-09-30,8296437
2013-10-01,6283552
2013-10-02,6692575
2013-10-03,7147339
2013-10-04,7806846
2013-10-05,8243558
2013-10-06,8888746
2013-10-07,9482457
