2013-07-11,12295583
2013-07-12,11938500
2013-07-13,11843231
2013-07-14,12196311
2013-07-15,13029681
2013-07-16,12414866
2013-07-17,12638684
2013-07-18,13275387
2013-07-19,12842244
2013-07-20,11870952
2013-07-21,11910872
2013-07-22,13053176
2013-07-23,12877929
2013-07-24,12741488
2013-07-25,12589261
2013-07-26,12605740
2013-07-27,12442570
2013-07-28,13157569
2013-07-29,13658218
2013-07-30,13314152
2013-07-31,13226286
2013-08-01,13072455
2013-08-02,13266477
2013-08-03,13229481
2013-08-04,13972716
2013-08-05,14210575
2013-08-06,14432300
2013-08-07,14600420
2013-08-08,15114205
2013-08-09,14746700
2013-08-10,14633253
2013-08-11,15355197
2013-08-12,15087541
2013-08-13,13509438
2013-08-14,14473328
2013-08-15,15223687
2013-08-16,14948240
2013-08-17,14785857
2013-08-18,15306161
2013-08-19,16132778
2013-08-20,15286888
2013-08-21,14964567
2013-08-22,14154961
2013-08-23,14738331
2013-08-24,14595366
2013-08-25,15405805
2013-08-26,15732115
2013-08-27,15664106
2013-08-28,15327717
2013-08-29,15179896
2013-08-30,14452156
2013-08-31,14328772
2013-09-01,15414660
2013-09-02,15584413
2013-09-03,15354491
2013-09-04,15126292
2013-09-05,14367801
2013-09-06,13945998
2013-09-07,14563818
2013-09-08,15750415
2013-09-09,15075874
2013-09-10,14743834
2013-09-11,14880203
2013-09-12,14876774
2013-09-13,14590225
2013-09-14,14321319
2013-09-15,15333377
2013-09-16,14770494
2013-09-17,14565012
2013-09-18,12997150
2013-09-19,11120967
2013-09-20,14797377
2013-09-21,16390847
2013-09-22,16871950
2013-09-23,15736896
2013-09-24,15158699
2013-09-25,14519618
2013-09-26,14186021
2013-09-27,14027051
2013-09-28,14413037
2013-09-29,15146285
2013-09-30,13292391
2013-10-01,11861409
2013-10-02,12590449
2013-10-03,13253787
2013-10-04,14368006
2013-10-05,15093025
2013-10-06,16494277
2013-10-07,17525285
2013-10-08,17180176
